Date,Value,MovingAvg,RMA,RMA_Pred,PercAvg_Pred,ES-0.3,ES-0.6,ES-0.9,MonteCarlo_Pred,ARIMA-OPT,SARIMA-OPT,ARIMA-UNOPT,SARIMA-UNOPT,LINREG,SVR-UNOPT,SVR-OPT
2013-02-01,397.03,394.2616666666666,100.63855449681358,395.1167313295049,407.90250651366676,394.98685044215483,396.20925337507015,396.89133898144644,396.73361590028054,396.47852198308453,396.6605117420778,396.63180997299355,396.62462735196175,395.8852461780575,407.016782425564,395.86473623618264
2013-03-01,397.66,394.51083333333327,100.73292240141858,395.88776827302036,408.65756205778365,395.7887953095084,397.0797013500281,397.58313389814464,397.2650845839351,397.80634907269274,397.7507250563398,397.8513501298814,397.59758823952353,396.0740326104728,407.0165617101644,396.03210941954524
2013-04-01,398.64,394.76666666666665,100.93301768555914,397.3960906642647,410.14767167465,396.6441567166558,398.0158805400112,398.5343133898145,399.1415230333831,398.47888405259147,398.87406237164885,397.941512462343,398.8441202039828,396.2830461606468,407.0216083754312,396.2184506771692
2013-05-01,400.02,394.955,101.21643419679287,398.1019150624034,409.56412874750805,397.656909701659,399.21835221600446,399.87143133898144,399.6465171190148,399.0252082663712,399.30743275809755,399.4144501986338,399.3898803511207,396.4853173382345,407.02214034772885,396.39981236127375
2013-06-01,398.81,395.2124999999999,100.84860234540456,397.5663627772488,408.94341641940844,398.00283679116126,398.9733408864018,398.9161431338982,398.6049228025811,399.40100367742514,399.1801645482548,400.9828352314088,399.0028327414706,396.6943308884085,407.0221489409866,396.5882827708034
2013-07-01,397.51,395.45416666666665,100.45741723527925,395.8547148402693,407.1246159564055,397.85498575381285,398.0953363545607,397.65061431338984,397.08420337654127,396.93923739602064,397.33694258924834,397.411073410141,397.31544556570117,396.89660206599626,407.0223707131703,396.7717020838025
2013-08-01,395.39,395.70000000000005,99.86277151035529,393.86930689006044,405.0451296499148,397.115490027669,396.4721345418243,395.61606143133895,395.2465596488347,395.2977508417871,395.326290877953,396.8291252332635,395.3606148401247,397.10561561617027,407.02456103846197,396.96229960500057
2013-09-01,393.72,395.93333333333334,99.39077751598789,392.6133269126268,403.7083646468646,396.0968430193683,394.8208538167297,393.9096061431339,393.95645686662044,393.92643405794354,394.1452193677244,393.7389459582799,394.08224455973516,397.3146291663443,407.02237071317205,397.1539818128836
2013-10-01,393.9,396.1333333333334,99.3812326149072,392.86954936063745,403.9837182360216,395.43779011355775,394.26834152669187,393.90096061431336,393.8919076651025,393.6237983806105,393.76756237350116,392.7960027906571,393.9445319104276,397.51690034393204,407.0221489506886,397.34051768929595
2013-11-01,395.36,396.35249999999996,99.70431175250455,394.43838314799075,405.5725017783003,395.4144530794904,394.92333661067676,395.21409606143135,395.92428877472736,394.95034690636464,395.412572061993,394.37188242533284,395.5091313552014,397.72591389410604,407.02214894344127,397.5343484649465
2013-12-01,397.03,396.53249999999997,100.07372633038219,395.8044075533875,407.01794144244633,395.89911715564324,396.18733464427066,396.84840960614315,397.49464480830045,396.73187834129266,396.70253258149387,396.49604051386416,396.7719379901192,397.9281850716938,407.0223655168347,397.7229750909503
2014-01-01,398.04,396.7375,100.28069895509446,396.99934629945733,407.03744287702943,396.5413820089502,397.2989338577083,397.9208409606143,398.4682391603731,398.07440754223705,398.2890856606906,398.12799189897675,398.18589868204594,398.1371986218678,407.0240228170408,397.91897981937336
2014-02-01,398.27,396.9258333333333,100.31252951609349,397.78667597299557,407.90250651366676,397.0599674062651,397.8815735430833,398.2350840960614,399.5617079863892,398.73551621882,399.0492017092937,398.56522590631886,399.0895093155245,398.3462121720418,407.016782425564,398.11610072498013
2014-03-01,399.91,397.0291666666667,100.67805144127892,398.4148911778014,408.65756205778365,397.9149771843856,399.0986294172333,399.74250840960616,400.3242241338385,398.96580140320526,399.0024800658658,398.29663498964027,399.3313370863975,398.5349986044571,407.0165617101644,398.2951115230868
2014-04-01,401.51,397.2166666666667,101.02002947916647,399.86240938957286,410.14767167465,398.99348402906986,400.5454517668933,401.3332508409606,401.2521737637606,400.80419162941257,400.98048178977996,401.35617977368184,400.9329048080561,398.7440121546311,407.0216083754312,398.494379151457
2014-05-01,401.96,397.4558333333334,101.09212999930838,400.62267448879857,409.56412874750805,399.88343882034883,401.3941807067573,401.89732508409605,402.5327419217657,402.02379416233885,402.37442953247734,402.44110166670276,402.10651180399196,398.9462833322188,407.02214034772885,398.68830370855227
2014-06-01,401.43,397.6175,100.90342959721661,399.98568681806057,408.94341641940844,400.34740717424415,401.41567228270293,401.4767325084096,401.3674718778234,401.30272075581377,401.0680943622869,402.04471877820464,401.06457370952876,399.1552968823928,407.0221489409866,398.88982081307245
2014-07-01,399.27,397.8358333333333,100.32350668685181,398.2387938528255,407.1246159564055,400.0241850219709,400.1282689130812,399.490673250841,400.3124617073697,399.5281216155315,399.91718208864665,400.9311071676199,399.81913024129267,399.35756805998057,407.0223707131703,399.085935765568
2014-08-01,397.18,397.9825000000001,99.7609668493254,396.1412469784521,405.0451296499148,399.1709295153796,398.3593075652325,397.4110673250841,398.1122460958444,396.9374357485339,397.2398514389527,397.52197213844414,397.3704600890288,399.56658161015457,407.02456103846197,399.2897287476088
2014-09-01,395.54,398.13166666666666,99.31121061221076,394.7932266356347,403.7083646468646,398.0816506607657,396.66772302609303,395.72710673250845,396.6924992559753,395.67776178816456,395.72860728209224,395.9160972948903,395.92280824653346,399.7755951603286,407.02237071317205,399.4946861704279
2014-10-01,396.16,398.2833333333333,99.41986674083897,395.0018352857267,403.9837182360216,397.505155462536,396.36308921043724,396.11671067325085,396.4240215616184,395.50244918551596,395.70310126617085,394.51182480387433,395.83848493400893,399.97786633791634,407.0221489506886,399.6941441962942
2014-11-01,397.4,398.47166666666664,99.68852561824531,396.54731566039095,405.5725017783003,397.4736088237751,396.9852356841749,397.27167106732503,398.1195379724277,397.3107161049453,397.5659531479348,397.0574921079074,397.60023016291467,400.18687988809035,407.02214894344127,399.90140211312985
2014-12-01,399.08,398.64166666666665,100.06707412631248,397.9097014774198,407.01794144244633,397.95552617664254,398.24209427367,398.8991671067325,399.434494894015,398.7784353271075,398.92244480899353,398.19704361572576,398.88614159405824,400.3891510656781,407.0223655168347,400.10308887495
2015-01-01,400.18,398.8125,100.29804360584724,399.07571579710094,407.03744287702943,398.62286832364975,399.404837709468,400.05191671067325,400.8980828256307,400.0643745502898,400.1939471151753,400.3013933076,400.1948030187586,400.5981646158521,407.0240228170408,400.3126489039771
2015-02-01,400.55,398.99083333333334,100.34299408998011,399.85615449241067,407.90250651366676,399.2010078265548,400.0919350837872,400.50019167106734,400.86894066869195,400.8364780135963,401.1171715277282,400.74339271478874,401.0092653915141,400.8071781660261,407.016782425564,400.5233747498112
2015-03-01,401.74,399.18083333333334,100.60267111853089,400.57406766362016,408.65756205778365,399.96270547858836,401.0807740335149,401.61601916710674,402.5675192425327,401.2906246717153,401.3827387534095,400.68796306350754,401.65719313745603,400.99596459844133,407.0165617101644,400.7147051429426
2015-04-01,403.35,399.33333333333326,100.96707441216228,401.99317454681164,410.14767167465,400.97889383501183,402.442309613406,403.1766019167107,404.17876295642884,402.68618944596864,402.980838824167,402.7492814324845,403.0220277131672,401.2049781486154,407.0216083754312,400.9276321313216
2015-05-01,404.15,399.48666666666674,101.12113560590738,402.66968905798393,409.56412874750805,401.9302256845083,403.46692384536243,404.05266019167107,404.62100398204456,403.90415773896143,404.09052535933296,404.4375785777709,403.9909743343049,401.4072493262031,407.02214034772885,401.1347785395186
2015-06-01,402.97,399.6691666666666,100.79352672290347,402.04957309265455,408.94341641940844,402.2421579791558,403.168769538145,403.07826601916713,404.3608856366941,403.5000416122592,403.3410355539565,404.49241019097354,403.24630934948954,401.6162628763771,407.0221489409866,401.3499414968801
2015-07-01,401.46,399.79750000000007,100.37001850092504,400.20244745519,407.1246159564055,402.007510585409,402.143507815258,401.62182660191667,402.11669170747035,400.97086235383216,401.3744701419355,401.80729995551945,401.44517868106226,401.81853405396487,407.0223707131703,401.55922488473846
