Date,Value,MovingAvg,RMA,RMA_Pred
2017-04-01,409.22,405.2558333333333,100.97818867505507,407.95512256747975
2017-05-01,409.89,405.4216666666666,101.10214468064116,408.6519778399852
2017-06-01,409.08,405.59583333333336,100.85902427498638,408.01153864298465
2017-07-01,407.33,405.82416666666666,100.37105560905893,406.23521842048257
2017-08-01,405.32,406.06333333333333,99.81694152800466,404.1846946006257
2017-09-01,403.57,406.2583333333333,99.33826998420545,402.85174903850543
2017-10-01,403.82,406.42749999999995,99.35843416107424,403.07890131126834
2017-11-01,405.31,406.56,99.69254230617867,404.59658776631187
2017-12-01,407.0,406.7566666666666,100.0598228260959,406.009801134562
2018-01-01,408.15,406.9058333333333,100.30576279933727,407.17439072124324
2018-02-01,408.52,407.0616666666666,100.35825857671034,407.94449164355444
